date,z,direction,rank,half_life,breakdown,n_halted,gross_ret,net_ret,fees,impact,borrow,gross_exposure
2022-05-16,0.6354562251841578,0,1,3.910570018565168,False,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-17,0.7006058699874395,0,1,3.910570018565168,False,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-18,0.48158202562049873,0,1,3.910570018565168,False,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-19,1.0584149110222874,0,1,3.910570018565168,False,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-20,0.5553232910074659,0,1,3.910570018565168,False,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-23,0.9283992486325091,0,1,3.910570018565168,False,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-24,1.4633911508165212,0,1,3.910570018565168,False,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-25,1.252049040527382,0,1,3.910570018565168,False,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-26,0.7685911353443707,0,1,3.910570018565168,False,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-27,0.24830208798529588,0,1,3.910570018565168,False,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-31,1.573696841581248,0,1,3.910570018565168,False,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,0.014515350004630624,0,1,3.910570018565168,False,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-02,-2.79073713236859,1,1,3.910570018565168,False,0,0.0,-0.0003881389595632821,1437.305414885741,2444.0841807470797,0.0,0.0
2022-06-03,-1.402523474236147,1,1,3.910570018565168,False,0,0.004980857739918437,0.004961687396464973,68.48132724854268,32.74638737671315,90.47571990939073,0.9582036099238272
2022-06-06,-1.3297059464860914,1,1,3.910570018565168,False,0,-0.00023735197957410565,-0.00025041418266893517,30.54078934003512,11.194704695378496,88.88653691288158,0.9421840457630564
2022-06-07,-1.785850295773116,1,1,3.910570018565168,False,0,-0.0014295740273991674,-0.0014398506578334699,10.35001577963283,2.1754437736417818,90.24084478975027,0.9558361163329825
2022-06-08,-1.9882259309987405,1,1,3.910570018565168,False,0,-0.0014592647214809185,-0.001470345321156894,16.198239846094648,3.6823936594878797,90.92536325417178,0.9627360625342722
2022-06-09,-2.0233927351938634,1,1,3.910570018565168,False,0,0.00014562868201809746,0.00012614257537483338,71.81594663181522,32.221422385433414,90.82369741539218,0.9617112708939568
2022-06-10,-1.8844461567413988,1,1,3.910570018565168,False,0,0.0010342452583797946,0.0010211526723566899,31.88818526896427,9.876514135189161,89.16116082689422,0.9444617431202359
2022-06-13,-1.1958251853681419,1,1,3.910570018565168,False,0,0.0009832929100119254,0.0009727956914332573,13.308799079586887,3.8899491709554566,87.77343753613857,0.9309646829050513
2022-06-14,-0.8030179082004487,1,1,3.910570018565168,False,0,0.003388247689940729,0.0033491520837017263,161.8143093845928,141.90259470797017,87.23915829746333,0.9255791126828019
2022-06-15,0.12697197766056129,0,0,4.15076152327127,False,0,0.00518240227610102,0.004784350905875195,1383.4149887283672,2510.187180001323,86.91153352856058,0.9222766591522449
2022-06-16,1.115283234993438,0,0,4.15076152327127,False,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-17,1.263225727318893,0,0,4.15076152327127,False,0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-21,0.9627917350219611,0,0,4.15076152327127,False,0,0.0,0.0,0.0,0.0,0.0,0.0
