aum,net_sharpe,gross_sharpe,net_ann_return,cost_drag_bps,impact_share,viable
100000.0,0.6451639197327258,0.7154807573865821,0.044683935028505255,48.98342673965637,0.0647847846926947,True
1000000.0,0.635330736107444,0.7154807573865821,0.04399776199716558,55.845157053053065,0.17969527883505326,True
5000000.0,0.6175423332241844,0.7154807573865821,0.0427573540529556,68.24923649515294,0.328783026194428,True
10000000.0,0.6042027418157329,0.7154807573865821,0.04182789234915013,77.54385353320758,0.40923691695048997,True
50000000.0,0.5478166116827372,0.7154807573865821,0.03790537801767952,116.76899684791383,0.6076865673130448,True
100000000.0,0.5054801411016534,0.7154807573865821,0.03496616203575343,146.16115666717448,0.6865785203853304,True
500000000.0,0.3262556795387996,0.7154807573865821,0.02256208259365357,270.20195108817313,0.8304599733631514,False
1000000000.0,0.1917097629308574,0.7154807573865821,0.01326746555559891,363.1481214687197,0.8738530002591153,False
5000000000.0,-0.3706082646498324,0.7154807573865821,-0.02595767775910736,755.3995546157824,0.9393565356176075,False
10000000000.0,-0.7762579209180692,0.7154807573865821,-0.05534983757836796,1049.3211528083887,0.956343159706433,False
