Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-05-17 00:00:00-04:00,112.2507540019044,113.55051270106033,111.85105758223382,113.50786590576172,21598000,0.0,0.0
2021-05-18 00:00:00-04:00,114.17385549892235,114.43817329757108,112.18231233154226,112.19619750976562,22204000,0.0,0.0
2021-05-19 00:00:00-04:00,110.50816906187161,112.81708157464918,110.35989652450986,112.64401245117188,23684000,0.0,0.0
2021-05-20 00:00:00-04:00,113.61102177435937,114.65241024764639,113.24008695620131,114.40198516845703,32352000,0.0,0.0
2021-05-21 00:00:00-04:00,114.92068766087792,114.99408615470026,113.52670649294609,113.76622772216797,40632000,0.0,0.0
2021-05-24 00:00:00-04:00,114.79571714938808,117.30795076933327,114.65041840397706,117.08430480957031,31832000,0.0,0.0
2021-05-25 00:00:00-04:00,117.62780399643341,118.22288412982375,116.78477317689254,117.175048828125,22440000,0.0,0.0
2021-05-26 00:00:00-04:00,117.3560548531477,118.47034990255696,117.35308107918044,118.03990936279297,21572000,0.0,0.0
2021-05-27 00:00:00-04:00,118.47331515824983,118.47331515824983,116.84725869661128,117.1656265258789,35224000,0.0,0.0
2021-05-28 00:00:00-04:00,117.74781887099097,117.82963927117555,116.67816071964592,116.87651824951172,21482000,0.0,0.0
2021-06-01 00:00:00-04:00,117.74879520281785,118.30767545540135,116.74905491589836,118.0830307006836,23354000,0.0,0.0
2021-06-02 00:00:00-04:00,118.47827097273424,118.70093322748687,116.65384943203411,117.5578842163086,21158000,0.0,0.0
2021-06-03 00:00:00-04:00,116.3250685412931,116.88494008609811,115.52121134855334,116.41680908203125,18696000,0.0,0.0
2021-06-04 00:00:00-04:00,117.49242726754059,118.96822874582733,117.15223662042179,118.69746398925781,24458000,0.0,0.0
2021-06-07 00:00:00-04:00,118.49265941789501,119.2399846738455,118.07412155900927,119.13038635253906,24120000,0.0,0.0
2021-06-08 00:00:00-04:00,119.61192324881151,119.9843411682575,118.75748151026745,118.93898010253906,24240000,0.0,0.0
2021-06-09 00:00:00-04:00,119.58314905326921,119.65504930518125,118.86260289582098,119.41007995605469,17942000,0.0,0.0
2021-06-10 00:00:00-04:00,119.35949314078805,120.801576684723,119.20378241102719,120.75843048095703,25904000,0.0,0.0
