Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-05-17 00:00:00-04:00,236.57943823986372,236.6178141840923,233.67197362740927,235.26483154296875,24970200,0.0,0.0
2021-05-18 00:00:00-04:00,236.31075341180204,236.44509117389674,233.07702751284302,233.249755859375,20168000,0.0,0.0
2021-05-19 00:00:00-04:00,230.16243607762956,233.93259335141164,229.47958385849037,233.82679748535156,25739800,0.56,0.0
2021-05-20 00:00:00-04:00,234.63473195533908,238.4722063912413,234.53854854557304,237.0583953857422,21800700,0.0,0.0
2021-05-21 00:00:00-04:00,238.10670075398016,238.83764464564823,235.3848750918042,235.79843139648438,21863100,0.0,0.0
2021-05-24 00:00:00-04:00,238.31825675937668,241.55944897788703,238.04896089277673,241.1939697265625,21411500,0.0,0.0
2021-05-25 00:00:00-04:00,242.14619045877527,243.08872621785105,241.2325067869294,242.0980987548828,17704300,0.0,0.0
2021-05-26 00:00:00-04:00,241.81918849558588,243.271478782269,241.1651882496709,241.8769073486328,17771600,0.0,0.0
2021-05-27 00:00:00-04:00,241.56909978446225,241.86724777869244,239.72249297377158,239.7801971435547,24426200,0.0,0.0
2021-05-28 00:00:00-04:00,241.40562846925397,242.4443476755237,240.020669527561,240.13607788085938,18270200,0.0,0.0
2021-06-01 00:00:00-04:00,241.62680800038572,241.68451217113508,237.5200379764385,237.94320678710938,23213300,0.0,0.0
2021-06-02 00:00:00-04:00,238.64529057633396,239.7417137426011,236.4428170992417,237.84701538085938,19406700,0.0,0.0
2021-06-03 00:00:00-04:00,235.846550117456,236.9237338024007,233.71140768799265,236.3178253173828,25307700,0.0,0.0
2021-06-04 00:00:00-04:00,238.28945046434345,242.0307559108141,238.04900663185686,241.20362854003906,25281100,0.0,0.0
2021-06-07 00:00:00-04:00,240.42458368050268,244.37748072250199,240.2610836417249,244.10818481445312,23079200,0.0,0.0
2021-06-08 00:00:00-04:00,245.40658282034158,246.22409767473246,242.85786953493397,242.91558837890625,22455000,0.0,0.0
2021-06-09 00:00:00-04:00,244.10819819545324,245.76245296444787,243.531141793228,243.8966064453125,17937600,0.0,0.0
2021-06-10 00:00:00-04:00,244.56982463133653,247.61865044725548,243.97352866576068,247.4070587158203,24563600,0.0,0.0
2021-06-11 00:00:00-04:00,248.12845692756474,248.6093446874002,246.80120201424933,248.0323028564453,18999700,0.0,0.0
2021-06-14 00:00:00-04:00,248.04184249398912,250.0134994576514,246.98388380020114,249.95579528808594,19150500,0.0,0.0
2021-06-15 00:00:00-04:00,249.8403442855341,250.05193601301735,247.8302375499688,248.48423767089844,18038900,0.0,0.0
2021-06-16 00:00:00-04:00,249.48453909560968,250.6194270515861,244.69490159361732,247.54176330566406,27220000,0.0,0.0
2021-06-17 00:00:00-04:00,246.28182299342527,251.74469998319134,246.2241188200235,250.92718505859375,27565500,0.0,0.0
2021-06-18 00:00:00-04:00,249.70576404665513,252.2736880540248,248.85939695697047,249.51339721679688,37202200,0.0,0.0
2021-06-21 00:00:00-04:00,249.88844788107733,253.44699862968113,248.06108081005905,252.59103393554688,26696100,0.0,0.0
2021-06-22 00:00:00-04:00,252.67767617857103,255.6303341906389,252.369900955261,255.3610382080078,24694100,0.0,0.0
2021-06-23 00:00:00-04:00,255.82252985215462,256.63041735211795,254.32216315921633,255.1300506591797,19518700,0.0,0.0
2021-06-24 00:00:00-04:00,255.98614034624336,257.61154309721616,255.32251298159505,256.4958801269531,21446900,0.0,0.0
2021-06-25 00:00:00-04:00,256.05344819862387,257.03444843637993,254.63963733626937,254.88967895507812,25611100,0.0,0.0
2021-06-28 00:00:00-04:00,256.01495201827004,258.6213546854569,255.74565612665353,258.4482421875,19590000,0.0,0.0
2021-06-29 00:00:00-04:00,258.5924972347941,261.26623115714835,257.73653255640755,261.0257873535156,19937800,0.0,0.0
2021-06-30 00:00:00-04:00,260.3429572810892,260.9873302929651,259.2946257303389,260.544921875,21656500,0.0,0.0
2021-07-01 00:00:00-04:00,259.3042174129385,261.44898683933064,259.2946196189184,261.2181701660156,16725300,0.0,0.0
2021-07-02 00:00:00-04:00,262.391594122123,267.3735840761219,262.0838189235368,267.0369567871094,26458000,0.0,0.0
2021-07-06 00:00:00-04:00,267.402330362961,268.6911054771681,263.81489866709086,267.0464782714844,31565600,0.0,0.0
2021-07-07 00:00:00-04:00,268.7200575437323,269.96075610492034,266.5560627596186,269.22979736328125,23260000,0.0,0.0
2021-07-08 00:00:00-04:00,266.3155624280756,268.07562758256216,264.36315983308367,266.8157043457031,24618600,0.0,0.0
2021-07-09 00:00:00-04:00,265.1807143722743,267.4216381390511,264.7960100826157,267.31585693359375,23916700,0.0,0.0
2021-07-12 00:00:00-04:00,268.48923727475227,269.075906208845,266.00784018519494,266.7195739746094,18931700,0.0,0.0
2021-07-13 00:00:00-04:00,266.9118604799698,272.03813906947397,266.7868543506358,270.2396240234375,26120100,0.0,0.0
2021-07-14 00:00:00-04:00,271.557233051648,272.8171562130653,269.8260200844515,271.71112060546875,23113700,0.0,0.0
2021-07-15 00:00:00-04:00,271.22064297039645,271.7111577808716,269.1335775905223,270.2877197265625,22604200,0.0,0.0
2021-07-16 00:00:00-04:00,271.28798313803793,273.24038594694457,268.77773418312665,270.0184326171875,26186800,0.0,0.0
2021-07-19 00:00:00-04:00,268.2680095974711,269.6529685438566,263.9592745207665,266.4214172363281,32935600,0.0,0.0
2021-07-20 00:00:00-04:00,267.4024288847443,270.2300510737556,265.7000968938325,268.64312744140625,26259700,0.0,0.0
2021-07-21 00:00:00-04:00,268.23914676268924,270.75899355414396,266.69070249429734,270.6435852050781,24364300,0.0,0.0
2021-07-22 00:00:00-04:00,272.9903826413608,275.4717801246783,272.5864533261634,275.2024841308594,23384100,0.0,0.0
2021-07-23 00:00:00-04:00,276.3853722718105,278.90521894376,275.5486324297109,278.59747314453125,22768100,0.0,0.0
2021-07-26 00:00:00-04:00,277.9530521274675,278.6166794096968,275.68327658614254,278.0011291503906,23176100,0.0,0.0
2021-07-27 00:00:00-04:00,278.36658164145285,278.51084204738186,272.1342972969276,275.5870666503906,33604100,0.0,0.0
2021-07-28 00:00:00-04:00,277.943434405772,279.0590972753007,272.98067033830415,275.2793273925781,33566900,0.0,0.0
2021-07-29 00:00:00-04:00,275.29857402961915,277.5876041189694,275.1446864474467,275.54864501953125,18168300,0.0,0.0
2021-07-30 00:00:00-04:00,274.26941906367057,275.7024545749451,273.0575730414376,274.01934814453125,20944800,0.0,0.0
2021-08-02 00:00:00-04:00,275.41400491206474,275.8083363703218,272.8941579188168,273.9328918457031,16267400,0.0,0.0
2021-08-03 00:00:00-04:00,274.5098668548125,276.25067746879176,273.14413327398177,276.1448669433594,17879000,0.0,0.0
2021-08-04 00:00:00-04:00,275.2793654804813,276.59699312691515,273.7693710071133,275.55828857421875,16191300,0.0,0.0
2021-08-05 00:00:00-04:00,275.9141446379062,278.5590271143416,275.16396096408687,278.4532165527344,13900200,0.0,0.0
2021-08-06 00:00:00-04:00,277.4818387644274,278.4339870480046,276.6258445430264,278.3955078125,16589300,0.0,0.0
2021-08-09 00:00:00-04:00,278.67438860321397,280.40557237439197,276.8085422037399,277.30865478515625,16117600,0.0,0.0
2021-08-10 00:00:00-04:00,277.7606812698353,278.1934918740184,274.29831384057627,275.49090576171875,18616600,0.0,0.0
2021-08-11 00:00:00-04:00,276.23148694196493,277.62607292416914,274.9330843638876,275.9814453125,13955900,0.0,0.0
2021-08-12 00:00:00-04:00,275.67367807710286,278.8860042800306,275.3947550024405,278.73211669921875,14561300,0.0,0.0
2021-08-13 00:00:00-04:00,278.41476627205253,281.7040218560263,278.24162438521927,281.65594482421875,18249000,0.0,0.0
2021-08-16 00:00:00-04:00,281.98291302988906,283.55061152329273,278.93407230117066,283.3390197753906,22507600,0.0,0.0
2021-08-17 00:00:00-04:00,281.21347728086533,282.21370240044297,279.953524710054,281.8770751953125,20075300,0.0,0.0
2021-08-18 00:00:00-04:00,281.41452622415534,284.09337849264244,279.7089064692593,280.1521911621094,21813000,0.56,0.0
2021-08-19 00:00:00-04:00,278.1864940413031,286.64704708243323,278.13832497152845,285.9725036621094,29850500,0.0,0.0
2021-08-20 00:00:00-04:00,288.81512041303324,294.71244831740665,287.21551359465093,293.2862854003906,40817600,0.0,0.0
2021-08-23 00:00:00-04:00,292.21670814145693,294.2884777670295,290.8676509020545,293.5657653808594,22830200,0.0,0.0
2021-08-24 00:00:00-04:00,293.9222928481988,294.5293759454758,291.0121816186196,291.609619140625,18175800,0.0,0.0
2021-08-25 00:00:00-04:00,293.22854211359436,293.50799918306285,289.4897341208387,291.0218811035156,20006100,0.0,0.0
2021-08-26 00:00:00-04:00,290.0389651127222,291.42657543670686,288.07320832644916,288.2080993652344,17666100,0.0,0.0
